metric,value
eval_loss,0.12471377849578857
eval_accuracy,0.942151344590369
eval_macro_precision,0.9135962030587507
eval_macro_recall,0.7843090543634066
eval_macro_f1,0.8381309748100686
eval_neg_f1,0.7596153846153846
eval_neu_f1,0.7846364883401921
eval_pos_f1,0.970141051474629
epoch,5.0
