step,epoch,loss,accuracy,loss,macro_f1,macro_precision,macro_recall,neg_f1,neu_f1,pos_f1
1500,1.6111707841031149,0.15261192619800568,0.8686679174484052,0.15261192619800568,0.5908073033579107,0.8072810281968924,0.5308183851460829,0.38961038961038963,0.45112781954887216,0.9316837009144702
1550,1.664876476906552,0.1301,,0.1301,,,,,,
1600,1.7185821697099892,0.12718342244625092,0.8677298311444653,0.12718342244625092,0.648198878196569,0.7060875447234185,0.610315088355675,0.5714285714285714,0.44309559939301973,0.9300724637681159
1650,1.7722878625134264,0.1302,,0.1302,,,,,,
1700,1.8259935553168636,0.14666038751602173,0.7954971857410882,0.14666038751602173,0.6681140578227956,0.6955388279000085,0.7056866105496374,0.638095238095238,0.48705501618122976,0.8791919191919192
1750,1.8796992481203008,0.1391,,0.1391,,,,,,
1800,1.933404940923738,0.1453380137681961,0.8749218261413383,0.1453380137681961,0.6548868967984497,0.8062383002592269,0.5858861744476144,0.5810055865921788,0.4507042253521127,0.9329508784510577
1850,1.9871106337271751,0.1182,,0.1182,,,,,,
1900,2.0408163265306123,0.15669602155685425,0.8814884302689181,0.15669602155685425,0.6553998775525685,0.7913533282377655,0.589650039667793,0.5668449197860963,0.461038961038961,0.9383157518326479
1950,2.0945220193340495,0.1375,,0.1375,,,,,,
2000,2.1482277121374866,0.13449940085411072,0.890556597873671,0.13449940085411072,0.7120742920831936,0.7968573893545114,0.6604678785598131,0.6883720930232559,0.5055292259083728,0.9423215573179524
2050,2.201933404940924,0.1164,,0.1164,,,,,,
2100,2.255639097744361,0.20137783885002136,0.8836772983114447,0.20137783885002136,0.6522875546896837,0.8073854787261774,0.5846486193152677,0.5863874345549738,0.4308231173380035,0.9396521121760738
2150,2.309344790547798,0.1179,,0.1179,,,,,,
2200,2.3630504833512354,0.1477551907300949,0.8861788617886179,0.1477551907300949,0.6950252632096582,0.7753424560153417,0.6442133486284471,0.6411483253588517,0.5030487804878049,0.9408786837823179
2250,2.4167561761546725,0.1088,,0.1088,,,,,,
2300,2.4704618689581097,0.16613703966140747,0.8786741713570981,0.16613703966140747,0.6324134768620465,0.7836956178909534,0.5796708791683255,0.6153846153846154,0.3441682600382409,0.9376875551632833
2350,2.524167561761547,0.0944,,0.0944,,,,,,
2400,2.5778732545649836,0.14495190978050232,0.8949343339587242,0.14495190978050232,0.6925120465281708,0.8405786071088016,0.6209901020419143,0.6153846153846154,0.5177664974619289,0.9443850267379679
2450,2.6315789473684212,0.1061,,0.1061,,,,,,
2500,2.685284640171858,0.14395691454410553,0.8939962476547842,0.14395691454410553,0.7200595748770535,0.7523793656278454,0.6935326875580338,0.6283185840707964,0.5850340136054422,0.9468261269549219
2550,2.7389903329752956,0.0918,,0.0918,,,,,,
2600,2.7926960257787323,0.12935176491737366,0.899624765478424,0.12935176491737366,0.7419440437703159,0.8091397669128776,0.6944875975957832,0.6919431279620853,0.5860597439544808,0.9478292593943816
2650,2.84640171858217,0.1108,,0.1108,,,,,,
2700,2.9001074113856067,0.1070452407002449,0.9008755472170107,0.1070452407002449,0.7572254089596656,0.8066328462394704,0.722961021645915,0.6985645933014354,0.6242038216560509,0.9489078119215105
2750,2.9538131041890443,0.086,,0.086,,,,,,
2800,3.007518796992481,0.11633216589689255,0.9027517198248906,0.11633216589689255,0.7656772211120534,0.8157243150778429,0.7330328108330457,0.7053140096618358,0.6425902864259029,0.9491273672484218
2850,3.061224489795918,0.0771,,0.0771,,,,,,
2900,3.1149301825993554,0.1205131933093071,0.9083802376485304,0.1205131933093071,0.7628020196072555,0.8251215022398702,0.722060737014442,0.6798029556650246,0.655483870967742,0.9531192321889996
2950,3.1686358754027926,0.087,,0.087,,,,,,
3000,3.2223415682062297,0.12389715015888214,0.9036898061288305,0.12389715015888214,0.745452429327314,0.8100316327790908,0.7023949930021544,0.6502463054187192,0.6357615894039735,0.9503493931592497
3050,3.276047261009667,0.0647,,0.0647,,,,,,
3100,3.329752953813104,0.14244019985198975,0.9008755472170107,0.14244019985198975,0.7639627725789606,0.7893518597250156,0.7454979790898727,0.7,0.6437346437346437,0.9481536740022379
3150,3.3834586466165413,0.0752,,0.0752,,,,,,
3200,3.4371643394199785,0.12161308526992798,0.9136960600375235,0.12161308526992798,0.7529403406993977,0.8700692951980485,0.6838557600513736,0.67,0.633693972179289,0.9551270499189043
3250,3.4908700322234156,0.0774,,0.0774,,,,,,
3300,3.544575725026853,0.11942584067583084,0.9186991869918699,0.11942584067583084,0.7840680585625374,0.8556998736697619,0.7353582070212775,0.7058823529411765,0.6881720430107527,0.9581497797356828
3350,3.59828141783029,0.0809,,0.0809,,,,,,
3400,3.651987110633727,0.14665964245796204,0.9152595372107567,0.14665964245796204,0.7646493181064851,0.8283421423918512,0.7196591503395098,0.6905829596412556,0.6459259259259259,0.9574390687522736
3450,3.7056928034371643,0.0887,,0.0887,,,,,,
3500,3.7593984962406015,0.11675643920898438,0.9083802376485304,0.11675643920898438,0.7831762507797584,0.8014081414748953,0.7695864727998124,0.72,0.6780905752753978,0.9514381770638775
3550,3.8131041890440387,0.0763,,0.0763,,,,,,
3600,3.866809881847476,0.12387889623641968,0.9174484052532833,0.12387889623641968,0.786599142864738,0.8633771241214366,0.748473569350034,0.694300518134715,0.7077294685990339,0.9577674418604651
3650,3.920515574650913,0.091,,0.091,,,,,,
3700,3.9742212674543502,0.13353443145751953,0.926829268292683,0.13353443145751953,0.8132769261665874,0.8839237703975434,0.7641494286265269,0.7572815533980582,0.7209612817089452,0.9615879433927587
3750,4.027926960257787,0.0446,,0.0446,,,,,,
3800,4.081632653061225,0.16810482740402222,0.9233896185115698,0.16810482740402222,0.7779229156587647,0.8904734905349011,0.7099500361456497,0.6871794871794872,0.6850507982583455,0.9615384615384616
3850,4.135338345864661,0.0552,,0.0552,,,,,,
3900,4.189044038668099,0.12249044328927994,0.9287054409005628,0.12249044328927994,0.8182884928017221,0.8838647491278242,0.7762232757384752,0.7487684729064039,0.7436548223350253,0.9624421831637373
3950,4.242749731471536,0.0534,,0.0534,,,,,,
4000,4.296455424274973,0.14549559354782104,0.9324577861163227,0.14549559354782104,0.7982906087163242,0.896099737996663,0.737230115777353,0.6836734693877551,0.7451523545706371,0.9660460021905805
4050,4.35016111707841,0.048,,0.048,,,,,,
4100,4.403866809881848,0.14857064187526703,0.9130706691682301,0.14857064187526703,0.7963611787867656,0.8300059417706477,0.7853496039795987,0.7211538461538461,0.7138047138047138,0.9541249764017369
4150,4.457572502685284,0.0508,,0.0508,,,,,,
4200,4.511278195488722,0.11825290322303772,0.9340212632895559,0.11825290322303772,0.8306050910169126,0.882641300224158,0.7961378688238,0.7596153846153846,0.766541822721598,0.9656580657137553
4250,4.564983888292159,0.0495,,0.0495,,,,,,
4300,4.618689581095596,0.11785607039928436,0.9362101313320825,0.11785607039928436,0.8343444392348851,0.9059414696896607,0.7838132644280734,0.7729468599033816,0.7640750670241286,0.9660113907771449
4350,4.672395273899033,0.05,,0.05,,,,,,
4400,4.726100966702471,0.12756995856761932,0.9355847404627893,0.12756995856761932,0.8327851660766464,0.9004617927807735,0.7839980390030918,0.7751196172248804,0.7570469798657719,0.966188901139287
4450,4.779806659505907,0.0501,,0.0501,,,,,,
4500,4.833512352309345,0.1364738643169403,0.9365228267667292,0.1364738643169403,0.8355691649776068,0.8929307547252554,0.7914107939986725,0.7777777777777778,0.762550881953867,0.9663788352011758
4550,4.887218045112782,0.0551,,0.0551,,,,,,
4600,4.940923737916219,0.11562890559434891,0.941213258286429,0.11562890559434891,0.8372393590736268,0.8871355395042198,0.7972974172206685,0.7657657657657657,0.7753424657534247,0.97060984570169
4650,4.994629430719656,0.0489,,0.0489,,,,,,
4700,5.048335123523094,0.1307935118675232,0.943089430894309,0.1307935118675232,0.8481428119368474,0.9007263989832798,0.8103722932950257,0.7772511848341233,0.7964148527528809,0.9707623982235382
4750,5.1020408163265305,0.0404,,0.0404,,,,,,
4800,5.155746509129968,0.1164320781826973,0.9380863039399625,0.1164320781826973,0.8362488427884568,0.8960764608588238,0.7928840246527953,0.7714285714285715,0.7690288713910761,0.9682890855457227
4850,5.209452201933405,0.0555,,0.0555,,,,,,
4900,5.2631578947368425,0.12931358814239502,0.943089430894309,0.12931358814239502,0.8444185231593099,0.8987862778174674,0.8049173855103442,0.7677725118483413,0.7943078913324709,0.9711751662971175
4950,5.316863587540279,0.0263,,0.0263,,,,,,
5000,5.370569280343717,0.1529931128025055,0.942151344590369,0.1529931128025055,0.8405326374552576,0.8726383911084451,0.8128844642309806,0.759825327510917,0.7909454061251664,0.9708271787296898
