step,epoch,loss
50,0.05370569280343716,0.3749
100,0.10741138560687433,0.2481
150,0.1611170784103115,0.2187
200,0.21482277121374865,0.2183
250,0.26852846401718583,0.2132
300,0.322234156820623,0.1814
350,0.37593984962406013,0.1671
400,0.4296455424274973,0.1941
450,0.4833512352309345,0.1914
500,0.5370569280343717,0.1642
550,0.5907626208378088,0.173
600,0.644468313641246,0.1611
650,0.6981740064446831,0.1829
700,0.7518796992481203,0.1738
750,0.8055853920515574,0.1698
800,0.8592910848549946,0.1846
850,0.9129967776584318,0.1847
900,0.966702470461869,0.1554
950,1.0204081632653061,0.1577
1000,1.0741138560687433,0.1488
1050,1.1278195488721805,0.1483
1100,1.1815252416756177,0.1614
1150,1.2352309344790549,0.1492
1200,1.2889366272824918,0.1675
1250,1.342642320085929,0.1494
1300,1.3963480128893662,0.159
1350,1.4500537056928033,0.1377
1400,1.5037593984962405,0.1414
1450,1.5574650912996777,0.1386
1500,1.6111707841031149,0.1525
1550,1.664876476906552,0.1301
1600,1.7185821697099892,0.1339
1650,1.7722878625134264,0.1302
1700,1.8259935553168636,0.1509
1750,1.8796992481203008,0.1391
1800,1.933404940923738,0.1254
1850,1.9871106337271751,0.1182
1900,2.0408163265306123,0.1165
1950,2.0945220193340495,0.1375
2000,2.1482277121374866,0.1186
2050,2.201933404940924,0.1164
2100,2.255639097744361,0.1068
2150,2.309344790547798,0.1179
2200,2.3630504833512354,0.0989
2250,2.4167561761546725,0.1088
2300,2.4704618689581097,0.1062
2350,2.524167561761547,0.0944
2400,2.5778732545649836,0.1171
2450,2.6315789473684212,0.1061
2500,2.685284640171858,0.1033
2550,2.7389903329752956,0.0918
2600,2.7926960257787323,0.0834
2650,2.84640171858217,0.1108
2700,2.9001074113856067,0.1158
2750,2.9538131041890443,0.086
2800,3.007518796992481,0.0824
2850,3.061224489795918,0.0771
2900,3.1149301825993554,0.0817
2950,3.1686358754027926,0.087
3000,3.2223415682062297,0.0693
3050,3.276047261009667,0.0647
3100,3.329752953813104,0.0757
3150,3.3834586466165413,0.0752
3200,3.4371643394199785,0.0832
3250,3.4908700322234156,0.0774
3300,3.544575725026853,0.0776
3350,3.59828141783029,0.0809
3400,3.651987110633727,0.0662
3450,3.7056928034371643,0.0887
3500,3.7593984962406015,0.0601
3550,3.8131041890440387,0.0763
3600,3.866809881847476,0.0593
3650,3.920515574650913,0.091
3700,3.9742212674543502,0.0589
3750,4.027926960257787,0.0446
3800,4.081632653061225,0.0483
3850,4.135338345864661,0.0552
3900,4.189044038668099,0.0513
3950,4.242749731471536,0.0534
4000,4.296455424274973,0.0512
4050,4.35016111707841,0.048
4100,4.403866809881848,0.0483
4150,4.457572502685284,0.0508
4200,4.511278195488722,0.056
4250,4.564983888292159,0.0495
4300,4.618689581095596,0.0688
4350,4.672395273899033,0.05
4400,4.726100966702471,0.0446
4450,4.779806659505907,0.0501
4500,4.833512352309345,0.0446
4550,4.887218045112782,0.0551
4600,4.940923737916219,0.0432
4650,4.994629430719656,0.0489
4700,5.048335123523094,0.0342
4750,5.1020408163265305,0.0404
4800,5.155746509129968,0.0377
4850,5.209452201933405,0.0555
4900,5.2631578947368425,0.0237
4950,5.316863587540279,0.0263
5000,5.370569280343717,0.0253
5050,5.424274973147154,0.032
5100,5.477980665950591,0.0284
5150,5.531686358754028,0.05
5200,5.585392051557465,0.0558
5250,5.639097744360902,0.026
5300,5.69280343716434,0.0369
5350,5.746509129967777,0.0225
5400,5.800214822771213,0.0286
5450,5.853920515574651,0.037
5500,5.907626208378088,0.027
5550,5.961331901181525,0.038
5600,6.015037593984962,0.0188
5650,6.0687432867884,0.0273
5700,6.122448979591836,0.0203
5750,6.176154672395274,0.0206
5800,6.229860365198711,0.0179
5850,6.283566058002148,0.0304
5900,6.337271750805585,0.0309
5950,6.390977443609023,0.0068
6000,6.4446831364124595,0.0272
6050,6.498388829215897,0.0309
6100,6.552094522019334,0.0247
6150,6.6058002148227715,0.0203
6200,6.659505907626208,0.0236
6250,6.713211600429646,0.0326
6300,6.7669172932330826,0.0154
6350,6.82062298603652,0.0089
6400,6.874328678839957,0.0114
6450,6.9280343716433945,0.0288
6500,6.981740064446831,0.0191
6550,7.035445757250269,0.0208
6600,7.089151450053706,0.0086
6650,7.142857142857143,0.0114
6700,7.19656283566058,0.0097
6750,7.250268528464018,0.0201
6800,7.303974221267454,0.018
6850,7.357679914070891,0.008
6900,7.411385606874329,0.016
6950,7.465091299677766,0.0128
7000,7.518796992481203,0.0048
7050,7.57250268528464,0.0148
7100,7.626208378088077,0.0079
7150,7.679914070891514,0.0242
7200,7.733619763694952,0.0068
7250,7.7873254564983885,0.0094
7300,7.841031149301826,0.014
7350,7.894736842105263,0.0104
7400,7.9484425349087005,0.0111
7450,8.002148227712137,0.0106
7500,8.055853920515574,0.007
7550,8.109559613319012,0.0047
7600,8.16326530612245,0.0076
7650,8.216970998925886,0.008
7700,8.270676691729323,0.0116
7750,8.324382384532761,0.0061
7800,8.378088077336198,0.0057
7850,8.431793770139635,0.0144
7900,8.485499462943071,0.0055
7950,8.53920515574651,0.0011
8000,8.592910848549947,0.0032
8050,8.646616541353383,0.0034
8100,8.70032223415682,0.007
8150,8.754027926960259,0.0078
8200,8.807733619763695,0.0037
8250,8.861439312567132,0.0067
8300,8.915145005370569,0.0047
8350,8.968850698174007,0.0064
