step,epoch,loss
50,0.1597444089456869,0.5585
100,0.3194888178913738,0.4354
150,0.4792332268370607,0.329
200,0.6389776357827476,0.2719
250,0.7987220447284346,0.2269
300,0.9584664536741214,0.186
350,1.1182108626198084,0.1554
400,1.2779552715654952,0.1378
450,1.4376996805111821,0.1063
500,1.5974440894568689,0.0993
550,1.7571884984025559,0.1062
600,1.9169329073482428,0.0902
650,2.07667731629393,0.0739
700,2.236421725239617,0.0709
750,2.3961661341853033,0.068
800,2.5559105431309903,0.0671
850,2.7156549520766773,0.0629
900,2.8753993610223643,0.0702
950,3.0351437699680512,0.0546
1000,3.194888178913738,0.0512
1050,3.3546325878594248,0.0362
1100,3.5143769968051117,0.0432
1150,3.6741214057507987,0.0541
1200,3.8338658146964857,0.0403
1250,3.9936102236421727,0.0435
