metric,value
eval_loss,0.3971949815750122
eval_accuracy,0.9486181393538342
eval_macro_precision,0.8984585456357133
eval_macro_recall,0.8442933229097598
eval_macro_f1,0.8695290385623006
eval_neg_f1,0.7938144329896907
eval_neu_f1,0.841799709724238
eval_pos_f1,0.972972972972973
epoch,8.0
