step,epoch,loss
50,0.03369272237196765,0.9724
100,0.0673854447439353,0.652
150,0.10107816711590296,0.6027
200,0.1347708894878706,0.5997
250,0.16846361185983827,0.5663
300,0.20215633423180593,0.582
350,0.2358490566037736,0.5369
400,0.2695417789757412,0.5568
450,0.3032345013477089,0.5573
500,0.33692722371967654,0.553
550,0.3706199460916442,0.5382
600,0.40431266846361186,0.4809
650,0.4380053908355795,0.4684
700,0.4716981132075472,0.5448
750,0.5053908355795148,0.51
800,0.5390835579514824,0.4454
850,0.5727762803234502,0.532
900,0.6064690026954178,0.4636
950,0.6401617250673854,0.5388
1000,0.6738544474393531,0.5457
1050,0.7075471698113207,0.4348
1100,0.7412398921832885,0.4553
1150,0.7749326145552561,0.541
1200,0.8086253369272237,0.524
1250,0.8423180592991913,0.4199
1300,0.876010781671159,0.5558
1350,0.9097035040431267,0.4808
1400,0.9433962264150944,0.5004
1450,0.977088948787062,0.4658
1500,1.0107816711590296,0.3889
1550,1.0444743935309972,0.4824
1600,1.0781671159029649,0.4477
1650,1.1118598382749325,0.4326
1700,1.1455525606469004,0.5627
1750,1.179245283018868,0.4794
1800,1.2129380053908356,0.4291
1850,1.2466307277628033,0.4731
1900,1.280323450134771,0.4841
1950,1.3140161725067385,0.3738
2000,1.3477088948787062,0.4285
2050,1.3814016172506738,0.4276
2100,1.4150943396226414,0.4086
2150,1.4487870619946093,0.428
2200,1.482479784366577,0.3913
2250,1.5161725067385445,0.4632
2300,1.5498652291105122,0.4194
2350,1.5835579514824798,0.3281
2400,1.6172506738544474,0.4449
2450,1.650943396226415,0.3861
2500,1.684636118598383,0.354
2550,1.7183288409703503,0.3311
2600,1.7520215633423182,0.4679
2650,1.7857142857142856,0.2891
2700,1.8194070080862534,0.4233
2750,1.853099730458221,0.3689
2800,1.8867924528301887,0.3793
2850,1.9204851752021563,0.4689
2900,1.954177897574124,0.3878
2950,1.9878706199460916,0.3436
3000,2.0215633423180592,0.3794
3050,2.055256064690027,0.3508
3100,2.0889487870619945,0.3671
3150,2.1226415094339623,0.299
3200,2.1563342318059298,0.3824
3250,2.1900269541778976,0.3383
3300,2.223719676549865,0.3531
3350,2.257412398921833,0.3111
3400,2.2911051212938007,0.2838
3450,2.324797843665768,0.3633
3500,2.358490566037736,0.3478
3550,2.3921832884097034,0.3502
3600,2.4258760107816713,0.3089
3650,2.4595687331536387,0.3405
3700,2.4932614555256065,0.3779
3750,2.526954177897574,0.2968
3800,2.560646900269542,0.2756
3850,2.5943396226415096,0.3041
3900,2.628032345013477,0.2934
3950,2.661725067385445,0.3003
4000,2.6954177897574123,0.384
4050,2.72911051212938,0.3032
4100,2.7628032345013476,0.2461
4150,2.7964959568733154,0.3119
4200,2.830188679245283,0.3418
4250,2.8638814016172507,0.3355
4300,2.8975741239892185,0.3062
4350,2.931266846361186,0.3186
4400,2.964959568733154,0.2896
4450,2.998652291105121,0.2971
4500,3.032345013477089,0.2559
4550,3.0660377358490565,0.2296
4600,3.0997304582210243,0.2559
4650,3.1334231805929917,0.274
4700,3.1671159029649596,0.2111
4750,3.2008086253369274,0.1917
4800,3.234501347708895,0.2867
4850,3.2681940700808627,0.2303
4900,3.30188679245283,0.2781
4950,3.335579514824798,0.2852
5000,3.3692722371967654,0.2468
5050,3.4029649595687332,0.1991
5100,3.4366576819407006,0.2766
5150,3.4703504043126685,0.1998
5200,3.5040431266846364,0.2828
5250,3.5377358490566038,0.302
5300,3.571428571428571,0.3168
5350,3.605121293800539,0.2623
5400,3.638814016172507,0.2644
5450,3.6725067385444743,0.2422
5500,3.706199460916442,0.2644
5550,3.7398921832884096,0.2725
5600,3.7735849056603774,0.2372
5650,3.8072776280323453,0.1738
5700,3.8409703504043127,0.3409
5750,3.87466307277628,0.2122
5800,3.908355795148248,0.2782
5850,3.942048517520216,0.2191
5900,3.975741239892183,0.2109
5950,4.009433962264151,0.2123
6000,4.0431266846361185,0.1214
6050,4.076819407008086,0.1477
6100,4.110512129380054,0.2041
6150,4.144204851752021,0.2065
6200,4.177897574123989,0.0995
6250,4.211590296495957,0.2228
6300,4.245283018867925,0.158
6350,4.2789757412398925,0.2194
6400,4.3126684636118595,0.1174
6450,4.346361185983827,0.1856
6500,4.380053908355795,0.1644
6550,4.413746630727763,0.2352
6600,4.44743935309973,0.1463
6650,4.481132075471698,0.17
6700,4.514824797843666,0.1604
6750,4.548517520215634,0.2136
6800,4.5822102425876015,0.1768
6850,4.615902964959568,0.1443
6900,4.649595687331536,0.122
6950,4.683288409703504,0.234
7000,4.716981132075472,0.1591
7050,4.75067385444744,0.1722
7100,4.784366576819407,0.2501
7150,4.818059299191375,0.1794
7200,4.8517520215633425,0.1206
7250,4.8854447439353095,0.2684
7300,4.919137466307277,0.1625
7350,4.952830188679245,0.0926
7400,4.986522911051213,0.2956
7450,5.020215633423181,0.2263
7500,5.053908355795148,0.1273
7550,5.087601078167116,0.1325
7600,5.121293800539084,0.1784
7650,5.154986522911051,0.139
7700,5.188679245283019,0.1682
7750,5.222371967654986,0.1231
7800,5.256064690026954,0.1356
7850,5.289757412398922,0.1558
7900,5.32345013477089,0.0904
7950,5.357142857142857,0.0962
8000,5.390835579514825,0.1278
8050,5.4245283018867925,0.1294
8100,5.45822102425876,0.1636
8150,5.491913746630728,0.1616
8200,5.525606469002695,0.1034
8250,5.559299191374663,0.087
8300,5.592991913746631,0.1522
8350,5.626684636118599,0.0842
8400,5.660377358490566,0.0684
8450,5.6940700808625335,0.1366
8500,5.727762803234501,0.0953
8550,5.761455525606469,0.1067
8600,5.795148247978437,0.0828
8650,5.828840970350404,0.1182
8700,5.862533692722372,0.1362
8750,5.89622641509434,0.1884
8800,5.929919137466308,0.0926
8850,5.963611859838275,0.1071
8900,5.997304582210242,0.1394
8950,6.03099730458221,0.0844
9000,6.064690026954178,0.098
9050,6.098382749326145,0.0962
9100,6.132075471698113,0.0681
9150,6.165768194070081,0.096
9200,6.199460916442049,0.0349
9250,6.2331536388140165,0.0805
9300,6.2668463611859835,0.0674
9350,6.300539083557951,0.0826
9400,6.334231805929919,0.0746
9450,6.367924528301887,0.0162
9500,6.401617250673855,0.0784
9550,6.435309973045822,0.1588
9600,6.46900269541779,0.1582
9650,6.502695417789758,0.0879
9700,6.536388140161725,0.0384
