step,epoch,loss,f1,loss,precision,recall
3100,12.062256809338521,0.05708032101392746,0.8045397225725094,0.05708032101392746,0.8567591763652641,0.7583201267828843
3150,12.2568093385214,0.0118,,0.0118,,
3200,12.45136186770428,0.05138906463980675,0.8072787427626138,0.05138906463980675,0.8442906574394463,0.7733755942947702
3250,12.645914396887159,0.0119,,0.0119,,
3300,12.84046692607004,0.057891521602869034,0.8176932616783795,0.057891521602869034,0.8547968885047537,0.783676703645008
3350,13.035019455252918,0.0121,,0.0121,,
3400,13.229571984435797,0.052949417382478714,0.8220091704877032,0.052949417382478714,0.8671943711521548,0.7812995245641838
3450,13.424124513618677,0.0105,,0.0105,,
3500,13.618677042801556,0.05488989129662514,0.8167411621292158,0.05488989129662514,0.8381984987489575,0.7963549920760697
3550,13.813229571984436,0.0073,,0.0073,,
3600,14.007782101167315,0.057974085211753845,0.806827643630308,0.057974085211753845,0.85,0.7678288431061807
3650,14.202334630350194,0.0099,,0.0099,,
3700,14.396887159533074,0.05252443626523018,0.8307819611088125,0.05252443626523018,0.8692640692640693,0.7955625990491284
3750,14.591439688715953,0.0091,,0.0091,,
3800,14.785992217898833,0.055149856954813004,0.8427620632279534,0.055149856954813004,0.8870402802101576,0.8026941362916006
3850,14.980544747081712,0.0085,,0.0085,,
3900,15.17509727626459,0.06338194012641907,0.8197511039743075,0.06338194012641907,0.8307567127746135,0.8090332805071315
3950,15.369649805447471,0.0075,,0.0075,,
4000,15.56420233463035,0.0564170703291893,0.8240131578947367,0.0564170703291893,0.8564102564102564,0.7939778129952456
4050,15.75875486381323,0.0061,,0.0061,,
4100,15.95330739299611,0.05478745326399803,0.8274153592072666,0.05478745326399803,0.8637931034482759,0.7939778129952456
4150,16.147859922178988,0.0064,,0.0064,,
4200,16.342412451361866,0.055808939039707184,0.7923942568878541,0.055808939039707184,0.776425855513308,0.8090332805071315
4250,16.53696498054475,0.0084,,0.0084,,
4300,16.731517509727627,0.06060037389397621,0.8317564788153023,0.06060037389397621,0.864841745081266,0.8011093502377179
4350,16.926070038910506,0.006,,0.006,,
4400,17.120622568093385,0.05987574905157089,0.813733228097869,0.05987574905157089,0.8105345911949685,0.8169572107765452
4450,17.315175097276263,0.0067,,0.0067,,
4500,17.509727626459146,0.06289075314998627,0.8295872496935022,0.06289075314998627,0.8565400843881856,0.8042789223454834
4550,17.704280155642024,0.0074,,0.0074,,
4600,17.898832684824903,0.060010217130184174,0.8375927452596867,0.060010217130184174,0.872852233676976,0.8050713153724247
4650,18.09338521400778,0.005,,0.005,,
4700,18.28793774319066,0.054806724190711975,0.8327841845140033,0.054806724190711975,0.8670668953687821,0.8011093502377179
4750,18.48249027237354,0.0048,,0.0048,,
4800,18.67704280155642,0.05413813889026642,0.846218487394958,0.05413813889026642,0.9007155635062611,0.7979397781299524
4850,18.8715953307393,0.0067,,0.0067,,
4900,19.06614785992218,0.05504698306322098,0.8364987613542527,0.05504698306322098,0.8732758620689656,0.8026941362916006
4950,19.260700389105057,0.0055,,0.0055,,
5000,19.455252918287936,0.05518973618745804,0.8384710234278668,0.05518973618745804,0.8710503842869343,0.8082408874801902
5050,19.64980544747082,0.0045,,0.0045,,
5100,19.844357976653697,0.05531051382422447,0.8424543946932007,0.05531051382422447,0.8834782608695653,0.8050713153724247
5150,20.038910505836576,0.0039,,0.0039,,
